res_state,res_county,total_deaths,deaths_male,deaths_65p,pct_male,pct_65p,population,med_age,med_income,area_km2,lon,lat,Y,density
AK,ANCHORAGE,54,43,54,79.6296296296296,100,290905,33.9,84813,4492.16166263756,-149.108467841972,61.1503091122953,18.5627610388271,64.7583550742464
AK,MATANUSKA-SUSITNA,55,27,55,49.0909090909091,100,107522,35.5,76118,64747.6024532291,-149.586805268606,62.3143261792973,51.1523223154331,1.66063291807089
AL,AUTAUGA,13,13,13,100,100,58909,38.6,57982,1565.32275749941,-86.6427420901898,32.5349159082842,22.0679352900236,37.6337721519532
AL,BALDWIN,245,150,231,61.2244897959184,94.2857142857143,233244,43.2,61756,4352.54856420989,-87.7222829347446,30.7268753293495,105.040215396752,53.5879144274041
AL,BLOUNT,23,12,23,52.1739130434783,100,59110,41,48922,1685.09807043496,-86.5675542604674,33.9808193690687,38.9105058365759,35.0780770787675
AL,CALHOUN,111,54,111,48.6486486486487,100,116242,39.5,50128,1585.72294135968,-85.8261426685671,33.7713805225808,95.4904423530222,73.3053656273196
AL,CHAMBERS,22,0,22,0,100,34572,41.9,43875,1562.23745441926,-85.3920007920885,32.9142878631463,63.6353118130279,22.1297984517032
AL,COFFEE,23,11,23,47.8260869565218,100,53565,39.5,56799,1762.91134656246,-85.9881733936531,31.4025722775178,42.9384859516475,30.3843980041581
AL,COLBERT,11,11,11,100,100,57305,42.5,47962,1614.69811597023,-87.8048790627114,34.700584473252,19.1955326760318,35.4896060342319
AL,COVINGTON,15,0,15,0,100,37513,43.3,42566,2703.4444346265,-86.4512365854689,31.2483788390805,39.9861381387786,13.8760018587853
AL,CULLMAN,60,47,60,78.3333333333333,100,88142,41.2,48388,1955.11843737717,-86.8677391951147,34.1319072218939,68.071974767988,45.0826908052916
AL,DALE,12,0,12,0,100,49260,37.8,45644,1456.71588840971,-85.6110410147842,31.4317509169379,24.3605359317905,33.8157909802007
AL,DEKALB,49,24,49,48.9795918367347,100,71673,39.6,42267,2016.82496925022,-85.8045015322315,34.4596655637043,68.3660513722043,35.5375409828674
AL,ELMORE,31,17,31,54.8387096774194,100,87871,38.7,62324,1701.75521301243,-86.1491481730982,32.596662969984,35.2789885172583,51.635510987771
AL,ETOWAH,222,115,222,51.8018018018018,100,103437,41.3,44934,1421.15578251175,-86.034758119143,34.0452764754442,214.623393949941,72.7837167978766
AL,HOUSTON,85,46,70,54.1176470588235,82.3529411764706,107300,40.2,49069,1506.30114982936,-85.3023934244015,31.1532319261564,79.2171481826654,71.2340955274153
AL,JEFFERSON,1377,717,1213,52.0697167755991,88.0900508351489,674727,37.9,55088,2911.37000340567,-86.896674380083,33.5542743852454,204.082540049531,231.755839762969
AL,LAUDERDALE,81,44,81,54.320987654321,100,94031,41.3,48428,1864.24840163245,-87.6539606183053,34.9016419799659,86.1418042985824,50.43909380191
AL,LEE,43,11,43,25.5813953488372,100,174856,32.4,52930,1595.05333228407,-85.3554241427268,32.6011988262403,24.5916639978039,109.623920693367
AL,LIMESTONE,47,35,47,74.468085106383,100,104209,40,64270,1572.71082424787,-86.981318646657,34.810024461603,45.1016706810352,66.2607507962164
AL,MADISON,341,213,328,62.4633431085044,96.1876832844575,390527,38.5,66887,2104.98503421929,-86.5501934746417,34.7629522876947,87.3179063163367,185.524834453201
AL,MARSHALL,50,15,50,30,100,97706,39.2,50216,1614.04036450246,-86.3066295657777,34.3668778947617,51.1739299531247,60.5350412225401
AL,MOBILE,790,427,619,54.0506329113924,78.3544303797468,414409,38.1,49625,3285.9696159813,-88.2059024379792,30.7868310174241,190.632925443222,126.114677988659
AL,MONTGOMERY,261,129,261,49.4252873563218,100,228363,36.7,51963,2071.59935985846,-86.2075433327103,32.2201603119006,114.291719761958,110.235118056612
AL,MORGAN,134,84,134,62.6865671641791,100,123329,40.5,52923,1551.57397386579,-86.8528698046878,34.4534969236933,108.65246616773,79.4863809765529
AL,SHELBY,54,42,54,77.7777777777778,100,223915,39.5,78889,2096.54940014625,-86.6608668204974,33.2642430338208,24.1162941294688,106.801680887834
AL,ST. CLAIR,114,69,114,60.5263157894737,100,91687,40.5,62531,1692.22106344891,-86.3147513192359,33.7156022450706,124.336056365679,54.1814553549717
AL,TALLAPOOSA,46,46,46,100,100,41288,45,48160,1985.10642267845,-85.7975118760168,32.8621688096871,111.412516954079,20.7988849002318
AL,TUSCALOOSA,148,75,148,50.6756756756757,100,232651,33.2,54283,3500.29913907892,-87.5251212159196,33.2894520202342,63.6145986907428,66.4660335462702
AL,WALKER,83,52,71,62.6506024096386,85.5421686746988,65141,42,45833,2085.11736719505,-87.297218103365,33.8032684165651,127.415913172963,31.2409272613892
AR,BAXTER,41,25,41,60.9756097560976,100,41696,52.3,43504,1519.80534984416,-92.3369207742406,36.2870318790939,98.3307751343055,27.4350922664377
AR,BENTON,374,186,363,49.7326203208556,97.0588235294118,286621,35.5,71556,2289.66820458092,-94.2562957989737,36.3387917198148,130.485902986871,125.18014593842
AR,BOONE,24,0,24,0,100,37393,42.9,46392,1559.28159245673,-93.0915400060577,36.3085026171699,64.1831358810473,23.9809154298329
AR,CLEBURNE,11,11,11,100,100,24716,49.5,45563,1533.02927605607,-92.0267518053503,35.538058972217,44.5055834277391,16.1223274636903
AR,CRAIGHEAD,98,47,98,47.9591836734694,100,111623,34.4,49730,1845.87061931229,-90.6329070925343,35.8308977841093,87.7955260116643,60.4717355767799
AR,CRAWFORD,41,24,41,58.5365853658537,100,60160,39.2,48980,1561.92954160143,-94.2428565118659,35.5890179274355,68.1515957446809,38.5164621051462
AR,FAULKNER,76,36,76,47.3684210526316,100,123820,33.3,54191,1719.66266134167,-92.3321331414882,35.1468660492096,61.3794217412373,72.002493735252
AR,GARLAND,195,105,195,53.8461538461539,100,100266,45.1,48150,1902.87254888147,-93.150383080642,34.5766440573957,194.482676081623,52.6919157349439
AR,GREENE,33,14,33,42.4242424242424,100,45861,37.7,50083,1500.11732937162,-90.5590120434118,36.1175819303266,71.9565644011251,30.5716087015745
AR,INDEPENDENCE,40,12,40,30,100,37945,39.4,48972,1998.48067681297,-91.5697196790112,35.741520227372,105.415733298195,18.9869236366657
AR,LONOKE,66,27,66,40.9090909090909,100,74072,36.7,59278,2079.31149745242,-91.8885375692212,34.7540304610472,89.1024948698564,35.6233301699881
AR,OUACHITA,11,11,11,100,100,22617,44.4,38279,1916.02894199816,-92.881993661103,33.5932548534001,48.6359817836141,11.8041014434853
AR,POINSETT,22,0,22,0,100,22955,39.9,40700,1977.76825774869,-90.6629690439164,35.5741496109317,95.8396863428447,11.6065165420998
AR,POPE,26,14,26,53.8461538461539,100,63407,35.6,46004,2151.5284606914,-93.0342084601669,35.4474037935477,41.004936363493,29.4706768506441
AR,PULASKI,450,207,450,46,100,399286,37.4,52930,2091.86919448147,-92.3116118292923,34.7698896430019,112.70117159129,190.875223485938
AR,SALINE,120,60,120,50,100,123820,39.6,66876,1891.61116087726,-92.6761850026633,34.646605559161,96.9148764335326,65.4574272772723
AR,SEBASTIAN,236,102,236,43.2203389830509,100,127813,37.9,47878,1417.30665694814,-94.2742678826346,35.1995278211354,184.644754445948,90.1802015628838
AR,WASHINGTON,225,115,225,51.1111111111111,100,246779,32.2,52380,2466.79432028575,-94.2156712728123,35.9789814092107,91.174694767383,100.040363304961
AR,WHITE,37,11,37,29.7297297297297,100,76863,37.1,44000,2699.19606298335,-91.745685507024,35.2562582064375,48.1375954620559,28.4762567099499
AZ,APACHE,209,114,198,54.5454545454545,94.7368421052632,65917,35.4,33967,29057.0299396057,-109.488407396965,35.3846902780429,317.065400427811,2.2685388058245
AZ,COCHISE,180,129,180,71.6666666666667,100,125533,41,51505,16106.4910799228,-109.751183956717,31.8793824840062,143.388591047772,7.79393844240106
AZ,COCONINO,72,32,72,44.4444444444444,100,145190,31,59000,48332.444707703,-111.76874948903,35.835500087339,49.5901921619946,3.00398626384525
AZ,GILA,25,25,25,100,100,53355,50.4,46907,12421.1787921976,-110.810084827632,33.7993465228706,46.8559647643145,4.29548603176981
AZ,MARICOPA,16493,9615,12830,58.2974595282847,77.7905778208937,4445415,36.6,67799,23889.4459316454,-112.493099701412,33.348323788833,371.011480367975,186.082800443326
AZ,MOHAVE,888,603,865,67.9054054054054,97.4099099099099,214173,52.3,47686,34865.246974502,-113.7621474758,35.6978811792171,414.618089114874,6.14287918730738
AZ,NAVAJO,305,211,271,69.1803278688525,88.8524590163935,106773,38.2,43140,25795.5234256386,-110.320399383338,35.390840132786,285.652739924887,4.13920656844964
AZ,PIMA,2829,1707,2546,60.33934252386,89.9964651820431,1045227,38.7,55023,23797.8683860208,-111.789181379721,32.099477668446,270.658909500042,43.9210345668599
AZ,PINAL,773,510,723,65.9767141009056,93.5316946959897,430213,39.8,60968,13920.2802119888,-111.344601801164,32.9047863297603,179.678438354954,30.9054841891387
AZ,SANTA CRUZ,27,27,27,100,100,47712,37.2,41424,3207.040013414,-110.846636090947,31.5261587219042,56.5895372233401,14.8772699437601
AZ,YAVAPAI,817,526,805,64.3818849449205,98.531211750306,237228,54.1,53329,21052.7662260276,-112.552566914038,34.5993464838896,344.39442224358,11.2682579311936
AZ,YUMA,605,397,538,65.6198347107438,88.9256198347107,205665,34.8,48790,14294.4532293242,-113.905581082975,32.7688064802465,294.167699900323,14.3877486393177
CA,ALAMEDA,746,397,735,53.2171581769437,98.5254691689008,1680614,37.8,104888,1944.28212409725,-121.88865922261,37.6469451348809,44.3885389506454,864.387929699413
CA,BUTTE,201,97,201,48.2587064676617,100,210222,36.9,54972,4343.69880726358,-121.600709885643,39.666562176289,95.6132088934555,48.3970020316474
CA,CALAVERAS,11,11,11,100,100,45350,52.8,67054,2685.71778369549,-120.554662119596,38.2044483752859,24.2557883131202,16.8856163053734
CA,CONTRA COSTA,563,315,538,55.9502664298402,95.5595026642984,1166165,39.9,103997,1970.59609175329,-121.927740757972,37.9192207665224,48.2779023551556,591.782864525238
CA,EL DORADO,92,39,92,42.3913043478261,100,191250,46.3,83710,4626.62101386698,-120.525046833855,38.7788989240334,48.1045751633987,41.3368632154617
CA,FRESNO,1615,926,1358,57.3374613003096,84.0866873065015,1009613,32.4,57109,15568.5147331714,-119.653402514315,36.7585690778634,159.962282577582,64.8496672485297
CA,HUMBOLDT,11,11,11,100,100,136324,38.9,49235,9351.941071963,-123.876142127577,40.6970958157702,8.0690120595053,14.577080731261
CA,IMPERIAL,497,336,429,67.6056338028169,86.317907444668,179730,32.5,46222,11606.5814998212,-115.365373469187,33.0398697467377,276.525899961053,15.4851796804054
CA,KERN,1250,841,927,67.28,74.16,906124,31.9,54851,21139.2111889946,-118.728928510183,35.3437904902206,137.950214319453,42.8646079505437
CA,KINGS,38,25,38,65.7894736842105,100,152797,32,61556,3604.06436261494,-119.815916979819,36.075085477727,24.869598225096,42.3957467532954
CA,LOS ANGELES,35724,20903,27240,58.5124846041877,76.2512596573732,9996634,36.7,71358,10621.6030865304,-118.224989126339,34.3197920701482,357.360287472763,941.160568565872
CA,MADERA,11,11,11,100,100,156434,34.1,61924,5575.49032267602,-119.764808299591,37.2177620572455,7.031719447179,28.0574426546431
CA,MARIN,119,52,119,43.6974789915966,100,261341,47.1,121671,1408.80477598407,-122.723156612203,38.0733119483172,45.5343784557341,185.505475602502
CA,MERCED,116,85,116,73.2758620689655,100,282963,31.2,56330,5124.83471288735,-120.718397921084,37.1917111887215,40.9947590320996,55.2140733999551
CA,MONTEREY,342,227,291,66.374269005848,85.0877192982456,440506,34.7,76943,8587.40007633536,-121.237123770159,36.2168993100855,77.6379890398769,51.2967832037918
CA,NEVADA,42,12,42,28.5714285714286,100,102267,50.5,68333,2522.95086658372,-120.769195607646,39.3016793758761,41.0689665287923,40.5346776088738
CA,ORANGE,6940,4060,5882,58.5014409221902,84.7550432276657,3186261,38.3,94441,2069.44017742619,-117.760832263505,33.7029178720868,217.810154284285,1539.67291964092
CA,PLACER,293,172,293,58.703071672355,100,405951,42.2,93677,3891.26003022609,-120.718916495131,39.0638369047364,72.1761986052504,104.323791483144
CA,RIVERSIDE,5030,3243,3879,64.4731610337972,77.117296222664,2424663,35.8,70732,18915.4937931682,-115.993893626753,33.74663984402,207.451509756201,128.183965299163
CA,SACRAMENTO,1921,1007,1759,52.4206142634045,91.5668922436231,1586727,36.4,70684,2575.39237612906,-121.34451387441,38.4490492184293,121.066824979975,616.11077780114
CA,SAN BERNARDINO,6758,4148,4798,61.379106244451,70.9973364900858,2183526,33.6,65761,52073.4319859281,-116.176585927192,34.842046365758,309.499406006615,41.9316706567383
CA,SAN DIEGO,4181,2517,3640,60.2009088734753,87.0605118392729,3301182,36.1,82426,11032.2474891506,-116.734931694691,33.0340885824905,126.651605394674,299.230234206263
CA,SAN FRANCISCO,340,176,340,51.764705882353,100,874826,38.3,119136,127.263803979027,-122.443048979506,37.7561681372079,38.8648714144298,6874.11481228527
CA,SAN JOAQUIN,1014,622,889,61.3412228796844,87.67258382643,780676,34.4,68628,3694.94284555751,-121.2716118405,37.9344290337235,129.887430893226,211.282293835376
CA,SAN LUIS OBISPO,203,107,203,52.7093596059113,100,281924,39.5,77948,8608.47763610168,-120.403018919914,35.3871398623939,72.0052212653055,32.7495768610335
CA,SAN MATEO,210,96,210,45.7142857142857,100,762727,39.8,128091,1186.39896579198,-122.328869893118,37.4226753792345,27.5327869604721,642.892502431376
CA,SANTA BARBARA,229,132,218,57.6419213973799,95.1965065502183,448083,33.8,78925,7126.48214434075,-120.016167929836,34.67263510448,51.1066030177445,62.8757626728679
CA,SANTA CLARA,1342,746,1274,55.5886736214605,94.9329359165425,1924802,37.2,130890,3367.68299365424,-121.694687504194,37.231737566747,69.7214570641552,571.550826971222
CA,SANTA CRUZ,89,31,89,34.8314606741573,100,271768,38.2,89986,1157.27140746792,-122.001586144619,37.0562160785838,32.7485207971505,234.835146056724
CA,SHASTA,297,167,285,56.2289562289562,95.959595959596,182190,41.7,57139,9964.48189781942,-122.041323626448,40.7636107841795,163.016630989626,18.2839410887855
CA,SOLANO,33,33,33,100,100,452887,38.3,84638,2305.11338407009,-121.93301270385,38.2698465184063,7.28658583708519,196.470595819606
CA,SONOMA,149,69,149,46.3087248322148,100,488501,42.4,86173,4122.96919645245,-122.886577249405,38.5280995496157,30.5014728731364,118.482815835812
CA,STANISLAUS,676,443,636,65.5325443786982,94.0828402366864,553710,34.3,62873,3920.90547224303,-120.998509033416,37.5589254152256,122.085568257752,141.21993093683
CA,SUTTER,14,0,14,0,100,99479,35.8,63502,1575.87521021076,-121.694529568817,39.03429519036,14.0733220076599,63.1261913097137
CA,TEHAMA,28,28,28,100,100,65690,40.6,48895,7674.06371602218,-122.234645027564,40.1259497822914,42.6244481656264,8.56000190131991
CA,TULARE,736,434,678,58.9673913043478,92.1195652173913,473944,31.2,52534,12532.6286230151,-118.800388661142,36.2200251896174,155.292608409432,37.8168071724111
CA,TUOLUMNE,22,11,22,50,100,55397,48.7,60509,5890.68833651721,-119.954937355889,38.0276340917082,39.713341877719,9.40416413759087
CA,VENTURA,846,491,764,58.0378250591017,90.3073286052009,843808,38.5,89295,4810.95128699374,-119.083425771301,34.4560548346768,100.259774735485,175.393170635755
CA,YOLO,49,37,49,75.5102040816327,100,217768,31.1,73746,2650.43511513846,-121.901021762495,38.6865050956521,22.5010102494398,82.1631130512032
CO,ADAMS,405,223,405,55.0617283950617,100,520517,34,73817,3065.22771110074,-104.33773832605,39.874121863933,77.807257015621,169.813485019382
CO,ARAPAHOE,563,278,563,49.3783303730018,100,655312,36.8,80291,2086.08109924405,-104.339282267134,39.650274871915,85.9132748980638,314.135438088898
